Bundesland;Regionalbereich;Bf. Nr.;Station;Bf DS 100 Abk.;Kategorie Vst;Straße;PLZ;Ort;Aufgabenträger;Verkehrsverbünde;Fernverkehr;Nahverkehr
Baden-Württemberg;Westfrankenbahn (WFB);2968;Igersheim;TIH;6;Bahnhofstraße;97999;Igersheim;Nahverkehrsgesellschaft Baden-Württemberg;Verkehrsverbund Rhein-Neckar;nein;ja
Bayern;Südostbayernbahn (SOB);3052;Jettenbach;MJEB;6;Bahnhofstraße;84555;Jettenbach;Bayrische Eisenbahn Gesellschaft;;nein;ja
Sachsen;Erzgebirgsbahn (EGB);3059;Johanngeorgenstadt;DJ;6;Pachthausstraße;8349;Johanngeorgenstadt;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Bayern;Südostbayernbahn (SOB);8222;Julbach;MJUL;6;Hauptstraße;84387;Julbach;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft Rottal-Inn;nein;ja
Bayern;Südostbayernbahn (SOB);3116;Karpfham;MKH;6;Karpfham Bahnhof;94086;Bad Griesbach i.Rottal;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft Landkreis Passau;nein;ja
Bayern;Südostbayernbahn (SOB);3128;Kastl (Oberbay);MKAT;6;Bahnhofstraße;84556;Kastl;Bayrische Eisenbahn Gesellschaft;;nein;ja
Thüringen;Oberweißbacher Berg- und Schwarzatalbahn (OBS);3137;Katzhütte;UKH;6;Bahnhofstraße 103;98746;Katzhütte;Nahverkehrsservicegesellschaft Thüringen;Verkehrsverbund Mittelthüringen ;nein;ja
Sachsen;Erzgebirgsbahn (EGB);3157;Kemtau;DKAU;6;Mühlenweg;9235;Burkhardtsdorf;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Bayern;Südostbayernbahn (SOB);3182;Kirchanschöring;MKAG;6;Bahnhofstraße;83417;Kirchanschöring;Bayrische Eisenbahn Gesellschaft;;nein;ja
Bayern;Südostbayernbahn (SOB);7550;Kirchweidach;MKW;6;Bahnhofstraße;84558;Kirchweidach;Bayrische Eisenbahn Gesellschaft;;nein;ja
